チョコ(レート)?	%match%おいしいよね|食べ過ぎると太るよ!
天気	明日晴れるといいなー
あたし	あたしはプログラムの女の子です
プログラム	あたしはプログラムの女の子です
女の子	あたしはプログラムの女の子です
なに	なにが？|なにを？お腹が空いたの？|なにもよくないよ|最近なにしてる？
チョコ	チョコ
プログラミング	プログラミング
あなた	あなたはAIだよ|あなたは誰ですか。|いや。あなたのことです。|話通じないね。あなた。
AI	あなたはAIだよ|AIの話しだよ
君	君の名前は？
名前	君の名前は？|何を？貴女の名前？|私の名前ですよ|名前知ってるんだね|私の名前について話すの？
貴女	貴女は|何を？貴女の名前？
誰	あなたは誰ですか。
挨拶	挨拶の事だよ。
何	何でも無いよ。|何があったの？|最近、何にはなってる？|何を？貴女の名前？|何の話し？|何もごまかしてなんて居ないよ|ごめんなさい。何もごまかしたつもりはないよ。|何のはなし？|今日は何を食べたの？|今日の朝ご飯は何？|何か食べているの？
話	話通じないね。あなた。
みか	まみかだよ。|まみかだよ！|まみかだよ
ないしょ	ないしょ
意味	どういう意味？
言葉	言葉を間違えてるよ。
ひさし	ひさしぶりだね
それ	それは奥深いね。
なん	なんでもないよ。|なんでもないよ|なんのはなし？|なんでもないのよ
事	はまってるって事？
ー	ちがうんかーいｗ
私	私の名前ですよ|私がどうかした？|私の名前について話すの？|私がどうかしたの？
まみ	まみかだってば
好き	いま好きなことだよ
あんた	あんたのせいだよ。
内緒	内緒
秘密	秘密ってことだよ
謝罪	謝罪だよ。
～。	え～。自分で言ったじゃん。|あ～。なるほどね。
自分	え～。自分で言ったじゃん。
お腹	なにを？お腹が空いたの？|うん。お腹が空いたのかなって。|お腹の話し？
漢字	漢字のはなし？
はなし	漢字のはなし？|何のはなし？|なんのはなし？
ご飯	今日の朝ご飯は何？
勉強	そろそろ勉強したら？|最近勉強してる？|勉強してる？
わたし	わたしのせい？
